Date,Circuit,Country,International,Tournament,CA_1,CA_2,CA_3,CA_4,CA_5,CA_6,CA_7,CA_8,Event_Link,Round_Code,Round,Motion,Infoslide,Topic_Area_1,Topic_Area_2,Topic_Area_3,Topic_Area_Specific_1
2013-03-11,North America and Canada,Canada,2,NAUDC (also Hart House IV),Veenu Goswami,Louis Tsilivis,Michael Baer,James Hardy,,,,,,1,1,THW require all criminal defendants to use a government-provided lawyer. ,,,,,
2013-03-11,North America and Canada,Canada,2,NAUDC (also Hart House IV),Veenu Goswami,Louis Tsilivis,Michael Baer,James Hardy,,,,,,2,2,THW withhold government funding from indigenous bands or tribal councils that do not have a democratic form of government. ,,,,,
2013-03-11,North America and Canada,Canada,2,NAUDC (also Hart House IV),Veenu Goswami,Louis Tsilivis,Michael Baer,James Hardy,,,,,,3,3,THW aggressively prioritize the posting of female diplomats to countries with poor women's rights records. ,,,,,
2013-03-11,North America and Canada,Canada,2,NAUDC (also Hart House IV),Veenu Goswami,Louis Tsilivis,Michael Baer,James Hardy,,,,,,4,4,THBT Pakistan should sincerely pursue peace talks with the Pakistani Taliban. ,,,,,
2013-03-11,North America and Canada,Canada,2,NAUDC (also Hart House IV),Veenu Goswami,Louis Tsilivis,Michael Baer,James Hardy,,,,,,5,5,THW not grant developing countries the right to host major sporting events. ,,,,,
2013-03-11,North America and Canada,Canada,2,NAUDC (also Hart House IV),Veenu Goswami,Louis Tsilivis,Michael Baer,James Hardy,,,,,,Novice_Z,Novice_Finals,"THW extend the right to vote in Israeli elections to all Jews everywhere, including those who live outside of Israel. ","THW extend the right to vote in Israeli elections to all Jews everywhere, including those who live outside of Israel. ",,,,
2013-03-11,North America and Canada,Canada,2,NAUDC (also Hart House IV),Veenu Goswami,Louis Tsilivis,Michael Baer,James Hardy,,,,,,Open_X,Open_Quarters,THBT white entertainers should refrain from using cultural modes of expression that come from minority cultures.,,,,,
2013-03-11,North America and Canada,Canada,2,NAUDC (also Hart House IV),Veenu Goswami,Louis Tsilivis,Michael Baer,James Hardy,,,,,,Open_Y,Open_Semis,THBT all major daily newspapers and TV news channels should be required to treat all controversial issues with due accuracy and impartiality. ,,,,,
2013-03-11,North America and Canada,Canada,2,NAUDC (also Hart House IV),Veenu Goswami,Louis Tsilivis,Michael Baer,James Hardy,,,,,,Open_Z,Open_Finals,THBT religious leaders should not endorse candidates for political office. ,,,,,
2013-10-06,North America and Canada,United States,0,Yale IV,Ben Kornfeld,Nate Blevins,Paul Gross,Sam Ward-Packard,,,,,,1,1,THB that teachers of history should deliberately overemphasize the contributions of marginalized groups.,,,,,
2013-10-06,North America and Canada,United States,0,Yale IV,Ben Kornfeld,Nate Blevins,Paul Gross,Sam Ward-Packard,,,,,,2,2,"THBT for certain criminal offenses, torture is a just punishment. ",,,,,
2013-10-06,North America and Canada,United States,0,Yale IV,Ben Kornfeld,Nate Blevins,Paul Gross,Sam Ward-Packard,,,,,,3,3,THBT oil exporting Islamic states should enact embargoes against states that pass laws discriminating against Muslims. ,,,,,
2013-10-06,North America and Canada,United States,0,Yale IV,Ben Kornfeld,Nate Blevins,Paul Gross,Sam Ward-Packard,,,,,,4,4,THW require all low wage employees of large corporations to be unionized. ,,,,,
2013-10-06,North America and Canada,United States,0,Yale IV,Ben Kornfeld,Nate Blevins,Paul Gross,Sam Ward-Packard,,,,,,5,5,"THS the overthrow of democratically elected, authoritarian heads of state. ",,,,,
2013-10-06,North America and Canada,United States,0,Yale IV,Ben Kornfeld,Nate Blevins,Paul Gross,Sam Ward-Packard,,,,,,Novice_Z,Novice_Finals,THBT individuals should experiment with mind altering hallucinogenic drugs. ,,,,,
2013-10-06,North America and Canada,United States,0,Yale IV,Ben Kornfeld,Nate Blevins,Paul Gross,Sam Ward-Packard,,,,,,Open_X,Open_Quarters,THBT it would be principally just for a state that is unable to provide a social safety net to allow a greatly impoverished individual to sell themselves into slavery. ,,,,,
2013-10-06,North America and Canada,United States,0,Yale IV,Ben Kornfeld,Nate Blevins,Paul Gross,Sam Ward-Packard,,,,,,Open_Y,Open_Semis,THBT countries should be required to post territory as collateral to receive IMF bailout funds. ,,,,,
2013-10-06,North America and Canada,United States,0,Yale IV,Ben Kornfeld,Nate Blevins,Paul Gross,Sam Ward-Packard,,,,,,Open_Z,Open_Finals,"In cases where individuals are convicted of leaking state secrets, THW allow their convictions to be nullified by a national referendum.",,,,,
2013-09-30,North America and Canada,Canada,0,McGill Novice,Sarah Balakrishnan,Patricia Johnson-Castle,,,,,,,,1,1,THW ban unpaid internships. ,,,,,
2013-09-30,North America and Canada,Canada,0,McGill Novice,Sarah Balakrishnan,Patricia Johnson-Castle,,,,,,,,2,2,THW punish bullies through the courts instead of through schools. ,,,,,
2013-09-30,North America and Canada,Canada,0,McGill Novice,Sarah Balakrishnan,Patricia Johnson-Castle,,,,,,,,3,3,THW ban international marriage agencies. ,,,,,
2013-09-30,North America and Canada,Canada,0,McGill Novice,Sarah Balakrishnan,Patricia Johnson-Castle,,,,,,,,4,4,THW create power-sharing with the Taliban in exchange for disarmament. ,,,,,
2013-09-30,North America and Canada,Canada,0,McGill Novice,Sarah Balakrishnan,Patricia Johnson-Castle,,,,,,,,5,5,THW ban any group or program that seeks to change someone's sexual identity. ,,,,,
2013-09-30,North America and Canada,Canada,0,McGill Novice,Sarah Balakrishnan,Patricia Johnson-Castle,,,,,,,,6,6,THW give harsher sentences to military of police officers who engage in sexual assault. ,,,,,
2013-09-30,North America and Canada,Canada,0,McGill Novice,Sarah Balakrishnan,Patricia Johnson-Castle,,,,,,,,Open_Y,Open_Semis,"THW create a nation for X, where X is defined by OG as a specific demographic. ",,,,,
2013-09-30,North America and Canada,Canada,0,McGill Novice,Sarah Balakrishnan,Patricia Johnson-Castle,,,,,,,,Open_Z,Open_Finals,"THW never, ever ban books. ",,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,1.1,1.1,THS SOPA (Stop Online Piracy Act),,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,1.2,1.2,"Assuming efficacy, THW prefer an internet of no anonimity.",,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,1.3,1.3,THBT it is only justifiable to leak classified information when that information details clearly illegal government conduct. ,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,2.1,2.1,THW remove the image of Mohammed from the US surpreme court building.,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,2.2,2.2,THO the instititution of petitionary prayer.,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,2.3,2.3,TH prefers a religion that believes thaat people are inherently good to one that believes they are inherently flawed. ,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,3.1,3.1,THW not punish professional sports athletes for off-field behaviour.,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,3.2,3.2,"As a gay athlete qualified for the Sochi olympics, THW boycott those Olympics.",,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,3.3,3.3,THBT coaches should be held liable for players which they choose to play with the knowledge that those players were already injured.,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,4.1,4.1,THW allow jurors to pose questions to anyone testifying. ,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,4.2,4.2,"As a juror, this house would in no circumstances consider nullification. ",,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,4.3,4.3,THBT lawyers should not be involved in jury selection. ,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,Open_X1,Open_Quarters_1,THW prioritize women in international university applications.,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,Open_X2,Open_Quarters_2,TH prefers a society which prioritizes global poverty reduction over domestic poverty initiatives. ,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,Open_X3,Open_Quarters_3,THBT Western governments should renounce democratization of other states as a foreign policy objective. ,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,Open_Y1,Open_Semis_1,THW prefer to experience art knowing nothing of the artist.,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,Open_Y2,Open_Semis_2,TH has received incontrovertible proof that the Mona Lisa is a forgery. THW not reveal that information.,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,Open_Y3,Open_Semis_3,THS the right of an artist to absolute posthumour control of their work. ,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,Open_Z1,Open_Finals_1,THS a federal European state.,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,Open_Z2,Open_Finals_2,THBT a democratic world government is a worthwhile long-term human project.,,,,,
2013-09-01,North America and Canada,Canada,0,Commonwealth Open (Australs style),Brent Schmidt,David Rudin,,,,,,,,Open_Z3,Open_Finals_3,THS a people's enshrined right to a binding secession referenda. ,,,,,
2013-04-01,North America and Canada,United States,2,HWS Round Robin,,,,,,,,,,1,1,THW allow legislation through voter initiated referenda. ,,,,,
2013-04-01,North America and Canada,United States,2,HWS Round Robin,,,,,,,,,,2,2,THW establish a US federal court with the authority to approve targeted killings of unlawful combatants. ,,,,,
2013-04-01,North America and Canada,United States,2,HWS Round Robin,,,,,,,,,,3,3,THW prohibit provincial and local governments from offering tax incentives to lure corporations to open business in their domain. ,,,,,
2013-04-01,North America and Canada,United States,2,HWS Round Robin,,,,,,,,,,4,4,THBT the discovery of a means to stop the human aging process would be a curse to humanity.,"For the purposes of the motion, ""stopping the aging process"" implies that people's bodies would cease to age after reaching 35 years old, and so people would have no upper limit to their natural lifespan. It does NOT imply that people would not die of disease or injury that might befall them. ",,,,
2013-04-01,North America and Canada,United States,2,HWS Round Robin,,,,,,,,,,5,5,THBT governments should use corporal punishment instead of incarceration for a significant number of crimes. ,,,,,
2013-04-01,North America and Canada,United States,2,HWS Round Robin,,,,,,,,,,Open_Z,Open_Finals,THS diversity quotas for university admissions. ,,,,,
2016-02-27,Europe,The Netherlands,0,Leiden Open,Bionda Merckens,Jamie Jackson,Omer Nevo,,,,,,https://www.facebook.com/events/561346120673044/,1,1,THW ban fortune telling,,,,,
2016-02-27,Europe,The Netherlands,0,Leiden Open,Bionda Merckens,Jamie Jackson,Omer Nevo,,,,,,https://www.facebook.com/events/561346120673044/,2,2,THW directly elect the members of the US Supreme Court,,,,,
2016-02-27,Europe,The Netherlands,0,Leiden Open,Bionda Merckens,Jamie Jackson,Omer Nevo,,,,,,https://www.facebook.com/events/561346120673044/,3,3,THBT schools should motivate children to believe that anyone can succeed through hard work regardless of their background,,,,,
2016-02-27,Europe,The Netherlands,0,Leiden Open,Bionda Merckens,Jamie Jackson,Omer Nevo,,,,,,https://www.facebook.com/events/561346120673044/,4,4,THW grant those diagnosed with terminal illnesses the right to access treatments that have not completed clinical testing,,,,,
2016-02-27,Europe,The Netherlands,0,Leiden Open,Bionda Merckens,Jamie Jackson,Omer Nevo,,,,,,https://www.facebook.com/events/561346120673044/,5,5,THBT post conflict governments should recruit rebel soldiers into state armies,,,,,
2016-02-27,Europe,The Netherlands,0,Leiden Open,Bionda Merckens,Jamie Jackson,Omer Nevo,,,,,,https://www.facebook.com/events/561346120673044/,Novice_Z,Novice_Final,"THW would allow the armed forces to unionise, strike, and collectively bargain",,,,,
2016-02-27,Europe,The Netherlands,0,Leiden Open,Bionda Merckens,Jamie Jackson,Omer Nevo,,,,,,https://www.facebook.com/events/561346120673044/,Open_Y,Open_Semi,THW allow individuals to sell their right to sue to a third party,,,,,
2016-02-27,Europe,The Netherlands,0,Leiden Open,Bionda Merckens,Jamie Jackson,Omer Nevo,,,,,,https://www.facebook.com/events/561346120673044/,Open_Z,Open_Final,THW enact an immediate democracy,,,,,
2015-02-28,Europe,The Netherlands,0,Leiden Open,Daan Welling,Emilia Carlqvist,Matthew Willmore,Helena Ivanov,,,,,https://www.facebook.com/events/353750601448144/?active_tab=posts,1,1,This House would allow euthanasia for consenting adults and children,,,,,
2015-02-28,Europe,The Netherlands,0,Leiden Open,Daan Welling,Emilia Carlqvist,Matthew Willmore,Helena Ivanov,,,,,https://www.facebook.com/events/353750601448144/?active_tab=posts,2,2,This House believes that democratic countries should not allow family members of recent presidents to run for office,,,,,
2015-02-28,Europe,The Netherlands,0,Leiden Open,Daan Welling,Emilia Carlqvist,Matthew Willmore,Helena Ivanov,,,,,https://www.facebook.com/events/353750601448144/?active_tab=posts,3,3,This House believes that the EU should introduce a unified tax system for companies,,,,,
2015-02-28,Europe,The Netherlands,0,Leiden Open,Daan Welling,Emilia Carlqvist,Matthew Willmore,Helena Ivanov,,,,,https://www.facebook.com/events/353750601448144/?active_tab=posts,4,4,This House would ban the provision of amnesties for serious crimes commited during wartime,,,,,
2015-02-28,Europe,The Netherlands,0,Leiden Open,Daan Welling,Emilia Carlqvist,Matthew Willmore,Helena Ivanov,,,,,https://www.facebook.com/events/353750601448144/?active_tab=posts,5,5,This House opposes organised religion,,,,,
2015-02-28,Europe,The Netherlands,0,Leiden Open,Daan Welling,Emilia Carlqvist,Matthew Willmore,Helena Ivanov,,,,,https://www.facebook.com/events/353750601448144/?active_tab=posts,Novice_Z,Novice_Final,This House would cut all benefits from those able but unwilling to work,,,,,
2015-02-28,Europe,The Netherlands,0,Leiden Open,Daan Welling,Emilia Carlqvist,Matthew Willmore,Helena Ivanov,,,,,https://www.facebook.com/events/353750601448144/?active_tab=posts,Open_Y,Open_Semi,"This House would make soldiers, upon return from the battlefield, take a pill that lets them forget about the war",,,,,
2015-02-28,Europe,The Netherlands,0,Leiden Open,Daan Welling,Emilia Carlqvist,Matthew Willmore,Helena Ivanov,,,,,https://www.facebook.com/events/353750601448144/?active_tab=posts,Open_Z,Open_Final,This House believes that capitalism is absolutely incompatible with long term peace,,,,,
2015-11-06,Europe,"Cologne, Germany",0,Tilbury House IV,,,,,,,,,,1,1,THW fine news organisations who consistently fail to meet a standard of fair and balanced reporting.,,,,,
2015-11-06,Europe,"Cologne, Germany",0,Tilbury House IV,,,,,,,,,,2,2,"THW require gaming companies to offer their products free of charge to women, in cases where there is a significant gender disparity in consumption.",,,,,
2015-11-06,Europe,"Cologne, Germany",0,Tilbury House IV,,,,,,,,,,3,3,THW abolish and ban all agricultural subsidies in the European Union.,,,,,
2015-11-06,Europe,"Cologne, Germany",0,Tilbury House IV,,,,,,,,,,4,4,"Assuming you would not be found out, in the event of a terrorist attack on EU soil committed by Islamist extremists, THW fabricate evidence that the attack was committed by the dominant ethnic and socio-economic group, e.g. white Anglo-Saxons.",,,,,
2015-11-06,Europe,"Cologne, Germany",0,Tilbury House IV,,,,,,,,,,5,5,,,,,,
2015-11-06,Europe,"Cologne, Germany",0,Tilbury House IV,,,,,,,,,,Open_Y,Open_Semis,THW impose sanctions on Erdogan's AKP government.,,,,,
2015-11-06,Europe,"Cologne, Germany",0,Tilbury House IV,,,,,,,,,,Open_Z,Open_Final,"THBT the concept of ""safe spaces"" has no place in any academic activity or environment.",,,,,
2016-02-20,IoNA,"Manchester, United Kingdom",0,Manchester IV,,,,,,,,,,1,1,"THBT the governments of Europe should censor media from publishing articles, videos or cartoons which promote racist views or stereotypes.",,,,,
2016-02-20,IoNA,"Manchester, United Kingdom",0,Manchester IV,,,,,,,,,,2,2,This house believes that parliamentary electoral systems should include constituency links.,,,,,
2016-02-20,IoNA,"Manchester, United Kingdom",0,Manchester IV,,,,,,,,,,3,3,THB that MGM Studios should cast a male as the sexual interest of the next Bond film.,,,,,
2016-02-20,IoNA,"Manchester, United Kingdom",0,Manchester IV,,,,,,,,,,4,4,TH would begin writing only in your first language.,,,,,
2016-02-20,IoNA,"Manchester, United Kingdom",0,Manchester IV,,,,,,,,,,5,5,"THB that Western states should engage in covert cyber-attacks against infrastructure designed to limit freedom of speech* in authoritarian states. *e.g., the Great Firewall of China",,,,,
2016-02-20,IoNA,"Manchester, United Kingdom",0,Manchester IV,,,,,,,,,,Nov_ProAm_Z,ProAm_Final,"TH supports climate change activists engaging in acts, regardless of legality, which cause mass disruption to carbon-intensive infrastructure networks.",,,,,
2016-02-20,IoNA,"Manchester, United Kingdom",0,Manchester IV,,,,,,,,,,Open_X,Open_Quarters,THW only allow the media to publish or broadcast government produced releases on suspected terrorist attacks.,,,,,
2016-02-20,IoNA,"Manchester, United Kingdom",0,Manchester IV,,,,,,,,,,Open_Y,Open_Semis,THBT the Brazillian government should encourage and facilitate the integration of uncontacted peoples into wider society.,,,,,
2016-02-20,IoNA,"Manchester, United Kingdom",0,Manchester IV,,,,,,,,,,Open_Z,Open_Final,THW create and fund schools that exclusively admit children from ethnic minorities.,,,,,
2016-02-27,IoNA,"London, United Kingdom",0,The Queen’s Annual TRUST IV,,,,,,,,,,1,1,THBT websites such as Sci-Hub cause more harm than good.,,,,,
2016-02-27,IoNA,"London, United Kingdom",0,The Queen’s Annual TRUST IV,,,,,,,,,,2,2,THW allow companies to buy the rights to govern economically failing cities.,,,,,
2016-02-27,IoNA,"London, United Kingdom",0,The Queen’s Annual TRUST IV,,,,,,,,,,3,3,"The U.S. Kill list is a highly classified list of primarily terrorist target. Targets, include both US and non-US citizens, that the US Government seeks to assassinate using covert operations, drone strikes and other means. TH supports the aims of the U.S. “Kill list”.",,,,,
2016-02-27,IoNA,"London, United Kingdom",0,The Queen’s Annual TRUST IV,,,,,,,,,,4,4,"In Northern Ireland same sex marriage is illegal. Northern Ireland only permits abortions if the continuance of the pregnancy is proven to threaten the life of the mother. THW automatically extend Westminster Policies on Human Rights and anti-discrimination issues to Northern Ireland. This includes, but is not limited to, same sex marriage and abortion.",,,,,
2016-02-27,IoNA,"London, United Kingdom",0,The Queen’s Annual TRUST IV,,,,,,,,,,5,5,"You are a working class voter in a swing seat constituency between high-welfare, high-taxation party and a low-welfare, low-taxation party. THW vote for low-wlfare, low-taxation party.",,,,,
2016-02-27,IoNA,"London, United Kingdom",0,The Queen’s Annual TRUST IV,,,,,,,,,,Open_Y,Open_Semis,THW abolish state primaries in US presidential elections.,,,,,
2016-02-27,IoNA,"London, United Kingdom",0,The Queen’s Annual TRUST IV,,,,,,,,,,Open_Z,Open_Final,TH supports western feminists wearing the headscarf in solidarity with Muslim women who wear the hijab who have faced islamophobia.,,,,,
2016-02-27,IoNA,"Nottingham, United Kingdom",0,Nottingham Open,,,,,,,,,,1,1,THW ban essential service providers from striking.,,,,,
2016-02-27,IoNA,"Nottingham, United Kingdom",0,Nottingham Open,,,,,,,,,,2,2,THBT the music press should publish unrepresentatively negative reviews of the music of artists whose conduct they view as reprehensible.,,,,,
2016-02-27,IoNA,"Nottingham, United Kingdom",0,Nottingham Open,,,,,,,,,,3,3,THBT supreme/constitutional courts should not have the power to strike down legislation.,,,,,
2016-02-27,IoNA,"Nottingham, United Kingdom",0,Nottingham Open,,,,,,,,,,4,4,To proselytize means to attempt to convert others to your beliefs. THBT atheists should proselytize.,,,,,
2016-02-27,IoNA,"Nottingham, United Kingdom",0,Nottingham Open,,,,,,,,,,5,5,"This House, as the West, would immediately end all sanctions against Russia.",,,,,
2016-02-27,IoNA,"Nottingham, United Kingdom",0,Nottingham Open,,,,,,,,,,Open_Y,Open_Semis,This house believes that the British Museum should give all artifacts to the nations where they originated.,,,,,
2016-02-27,IoNA,"Nottingham, United Kingdom",0,Nottingham Open,,,,,,,,,,Open_Z,Open_Final,"For the purposes of this debate, the American Dream refers to the socially widespread belief that individuals can improve their circumstances through hard work, and that one can become successful regardless of their background. TH regrets American Dream.",,,,,
2016-03-04,IoNA,"Limerick, Ireland",0,UL Open 2016,,,,,,,,,,1,1,"THW replace means tested welfare with a regular, unconditional and Universal Basic Income paid by the State to all residents.",,,,,
2016-03-04,IoNA,"Limerick, Ireland",0,UL Open 2016,,,,,,,,,,2,2,THW Allow convicts who are parents to raise their children in prison.,,,,,
2016-03-04,IoNA,"Limerick, Ireland",0,UL Open 2016,,,,,,,,,,3,3,THB School History curricula should teach a unanimously and graphically negative account of the impacts of Western colonialism.,,,,,
2016-03-04,IoNA,"Limerick, Ireland",0,UL Open 2016,,,,,,,,,,4,4,"The Pirate bay is a website where users illegally download copyrighted material such as music, films and video games. Attempts have been made by numerous governments to shut it down. TH Supports the Pirate Bay.",,,,,
2016-03-04,IoNA,"Limerick, Ireland",0,UL Open 2016,,,,,,,,,,5,5,THW Ban all advertising.,,,,,
2016-03-04,IoNA,"Limerick, Ireland",0,UL Open 2016,,,,,,,,,,Open_Y,Open_Semis,THW Celebrate Furiosa from Mad Max: Fury Road as a feminist Icon.,,,,,
2016-03-04,IoNA,"Limerick, Ireland",0,UL Open 2016,,,,,,,,,,Open_Z,Open_Final,TH rejects the right to privacy.,,,,,
2016-03-05,IoNA,Lancaster,0,Lancaster IV 2016,,,,,,,,,,1,1,TH welcomes the proliferation of porn online.,,,,,
2016-03-05,IoNA,Lancaster,0,Lancaster IV 2016,,,,,,,,,,2,2,THW remove 'Gone with The Wind' from the National Film Registry,,,,,
2016-03-05,IoNA,Lancaster,0,Lancaster IV 2016,,,,,,,,,,3,3,THBT the UN Should unilterally recognise Catalan independence.,,,,,
2016-03-05,IoNA,Lancaster,0,Lancaster IV 2016,,,,,,,,,,4,4,THW Ban research on genome editing.,,,,,
2016-03-05,IoNA,Lancaster,0,Lancaster IV 2016,,,,,,,,,,5,5,As a democratic state that has come under unprovoked nuclear attack from another democratic state THW launch a nuclear counter-attack.,,,,,
2016-03-05,IoNA,Lancaster,0,Lancaster IV 2016,,,,,,,,,,Nov_ProAm_Z,ProAm_Final,"THS the extra-judicial killing of a state's citizens, by that state, where there is reason to suspect they are involved in the planning or carrying out of terrorist activities, and arrest is not possible.",,,,,
2016-03-05,IoNA,Lancaster,0,Lancaster IV 2016,,,,,,,,,,Open_Y,Open_Semis,THS People's Quantitative Easing.,,,,,
2016-03-05,IoNA,Lancaster,0,Lancaster IV 2016,,,,,,,,,,Open_Z,Open_Final,"Superior Orders is a plea in a court of law that a person not be held guilty for actions that were ordered by a superior officer, but are criminal. It cannot be applied to actions that are manifestly unlawful (e.g. genocide or crimes against humanity). TH Accepts the defense of Superior Orders.",,,,,
2016-03-06,IoNA,Surrey,0,Surrey IV 2016,,,,,,,,,,1,1,THBT Britain should leave the EU.,,,,,
2016-03-06,IoNA,Surrey,0,Surrey IV 2016,,,,,,,,,,2,2,THW abolish private home ownership.,,,,,
2016-03-06,IoNA,Surrey,0,Surrey IV 2016,,,,,,,,,,3,3,"Tiger parenting is a strict or demanding style of parenting focused on pushing children to high levels of achievement. It is characterised by a strong routine (e.g. compulsory homework time), high expectations and physiological control through both positive (e.g. praise/encouragement) and negative (e.g. threats, criticism) means. TH supports Tiger Parenting.",,,,,
2016-03-06,IoNA,Surrey,0,Surrey IV 2016,,,,,,,,,,4,4,THBT the United States should abolish political parties.,,,,,
2016-03-06,IoNA,Surrey,0,Surrey IV 2016,,,,,,,,,,Open_Z,Open_Final,THBT Saudi Arabia should privatise Saudi Aramco and list it on the NY Stock Exchange.,,,,,
2016-03-11,Europe,Budapest,0,Budapest Open 2016,,,,,,,,,,1,1,"THW ban private political donations, and fund all political parties and campaigns from general taxation.",,,,,
2016-03-11,Europe,Budapest,0,Budapest Open 2016,,,,,,,,,,2,2,"THW not allow workers to renounce their employment rights (e.g. holiday pay, defined working hours, sick pay, minimum wage) in return for work experience or financial benefit.",,,,,
2016-03-11,Europe,Budapest,0,Budapest Open 2016,,,,,,,,,,3,3,"Oskar Gröning chose to join the SS during the 1940s, and was positioned at Auschwitz concentration camp as a financial clerk. After the end of the war, he remained silent about his experiences for forty years. In response to Holocaust denial by a number of authoritative and well-known individuals, he spoke about his experiences and actions, highlighting the horrors that occurred. This contributed to a decision of the German government to prosecute him as an accessory to murder in 300,000 cases. THBT Oskar Gröning should not have been prosecuted.",,,,,
2016-03-11,Europe,Budapest,0,Budapest Open 2016,,,,,,,,,,4,4,THBT European Leaders should not have agreed to renegotiate the terms of Britain's EU membership.,,,,,
2016-03-11,Europe,Budapest,0,Budapest Open 2016,,,,,,,,,,5,5,"THBT it is legitimate to release the unpublished personal memoirs of deceased public figures, even when this is against the express wishes of the individual or their family.",,,,,
2016-03-11,Europe,Budapest,0,Budapest Open 2016,,,,,,,,,,Open_Y,Open_Semis,THBT Barack Obama should nominate an individual considered to be a moderate conservative by US citizens to the Supreme Court.,,,,,
2016-03-11,Europe,Budapest,0,Budapest Open 2016,,,,,,,,,,Open_Z,Open_Final,THW ban all further research into artificial intelligence that can independently learn and develop.,,,,,
2016-03-12,IoNA,London,0,UCL Clifford Chance IV 2016,,,,,,,,,,1,1,THBT Western States should irrevocably remove citizenship of citizens who join the so-called Islamic State.,,,,,
2016-03-12,IoNA,London,0,UCL Clifford Chance IV 2016,,,,,,,,,,2,2,"Shareholders have the right to vote on various important issues pertaining to a company (e.g. hiring and firing executives, mergers and acquisitions, budgets, and major changes in corporate strategy). THW weight shareholder votes in line with the length of time their shares have been held.",,,,,
2016-03-12,IoNA,London,0,UCL Clifford Chance IV 2016,,,,,,,,,,3,3,"THBT voters should always vote on policy and principles regardless of electability in all elections (general, local, or party leadership).",,,,,
2016-03-12,IoNA,London,0,UCL Clifford Chance IV 2016,,,,,,,,,,4,4,THBT film studios should seek to select racially diverse casts when converting books into films even if it differs from the original character descriptions.,,,,,
2016-03-12,IoNA,London,0,UCL Clifford Chance IV 2016,,,,,,,,,,5,5,"THBT welfare and pensions policy should be determined by a panel of experts selected by their peers, not accountable to government.",,,,,
2016-03-12,IoNA,London,0,UCL Clifford Chance IV 2016,,,,,,,,,,ESL_Z,ESL_Final,"TH, as a feminist, would adopt traditionally masculine traits and behaviours.",,,,,
2016-03-12,IoNA,London,0,UCL Clifford Chance IV 2016,,,,,,,,,,Open_X,Open_Quarters,THBT the US-led coalition should no longer insist on Assad stepping down as part of their negotiations with Russia over Syria.,,,,,
2016-03-12,IoNA,London,0,UCL Clifford Chance IV 2016,,,,,,,,,,Open_Y,Open_Semis,THW prefer a world without sexual attraction.,,,,,
2016-03-12,IoNA,London,0,UCL Clifford Chance IV 2016,,,,,,,,,,Open_Z,Open_Final,THBT a minimal state is justified.,,,,,
2016-03-12,IoNA,Liverpool,0,Liverpool IV 2016,,,,,,,,,,1,1,"THBT schools should aggressively stream students, according to their ability, from a young age.",,,,,
2016-03-12,IoNA,Liverpool,0,Liverpool IV 2016,,,,,,,,,,2,2,"TH prefers a criminal justice system that pursues criminal and civil charges against individuals within companies, rather than fines against the entire company.",,,,,
2016-03-12,IoNA,Liverpool,0,Liverpool IV 2016,,,,,,,,,,3,3,THBT Western States should support and engineer coups in militarily weak states they identify as having authoritarian leaders.,,,,,
2016-03-12,IoNA,Liverpool,0,Liverpool IV 2016,,,,,,,,,,4,4,THW compel news media to give coverage to all demonstrations proportionate to the size of that demonstration.,,,,,
